grid_id,stop_id,stop_name,walking_distance_m,walking_time_min,trips_per_hour,headway_min,avg_wait_min
3235,feed_shizuokacity_ryougouchi_20260401_20260630200904_o2_0,,920.87,11.05,2.0,30.0,15.0
3235,feed_shizuokacity_ryougouchi_20260401_20260630200904_o3_0,,184.61,2.22,2.0,30.0,15.0
3235,feed_shizuokacity_ryougouchi_20260401_20260630200904_o4_0,,790.53,9.49,2.0,30.0,15.0
3239,feed_shizuokacity_ryougouchi_20260401_20260630200904_t6_0,,890.09,10.68,4.0,15.0,7.5
3240,feed_shizuokacity_ryougouchi_20260401_20260630200904_z2_0,,378.27,4.54,2.0,30.0,15.0
3240,feed_shizuokacity_ryougouchi_20260401_20260630200904_z3_0,,743.77,8.93,2.0,30.0,15.0
3241,feed_shizuokacity_ryougouchi_20260401_20260630200904_z2_0,,378.27,4.54,2.0,30.0,15.0
3241,feed_shizuokacity_ryougouchi_20260401_20260630200904_z3_0,,743.77,8.93,2.0,30.0,15.0
3257,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,915.32,10.98,0.333,180.0,90.0
3261,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b10_2,,821.11,9.85,0.333,180.0,90.0
3261,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b11_2,,482.95,5.8,0.333,180.0,90.0
3261,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b12_0,,722.78,8.67,0.333,180.0,90.0
3262,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b10_2,,848.5,10.18,0.333,180.0,90.0
3262,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b11_2,,505.31,6.06,0.333,180.0,90.0
3262,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b12_0,,302.11,3.63,0.333,180.0,90.0
3262,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b13_2,,669.65,8.04,0.333,180.0,90.0
3263,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b11_2,,868.99,10.43,0.333,180.0,90.0
3263,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b12_0,,387.59,4.65,0.333,180.0,90.0
3263,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b13_2,,265.85,3.19,0.333,180.0,90.0
3263,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b14_2,,593.89,7.13,0.333,180.0,90.0
3264,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b12_0,,712.9,8.55,0.333,180.0,90.0
3264,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b13_2,,234.4,2.81,0.333,180.0,90.0
3264,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b14_2,,96.23,1.15,0.333,180.0,90.0
3264,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b15_2,,488.88,5.87,0.333,180.0,90.0
3265,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b13_2,,672.9,8.07,0.333,180.0,90.0
3265,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b14_2,,342.28,4.11,0.333,180.0,90.0
3265,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b15_2,,159.23,1.91,0.333,180.0,90.0
3265,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_2,,672.38,8.07,0.333,180.0,90.0
3266,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b14_2,,853.73,10.24,0.333,180.0,90.0
3266,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b15_2,,461.08,5.53,0.333,180.0,90.0
3266,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_2,,513.63,6.16,0.333,180.0,90.0
3266,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b17_2,,718.09,8.62,0.333,180.0,90.0
3267,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_2,,771.53,9.26,0.333,180.0,90.0
3267,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b17_2,,636.06,7.63,0.333,180.0,90.0
3267,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b18_2,,744.81,8.94,0.333,180.0,90.0
3268,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_2,,871.98,10.46,0.333,180.0,90.0
3268,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b17_2,,710.78,8.53,0.333,180.0,90.0
3268,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b18_2,,457.04,5.48,0.333,180.0,90.0
3269,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b17_2,,894.16,10.73,0.333,180.0,90.0
3269,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b18_2,,640.41,7.68,0.333,180.0,90.0
3269,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b19_2,,863.09,10.36,0.333,180.0,90.0
3327,feed_shizuokacity_ryougouchi_20260401_20260630200904_o8_0,,483.8,5.81,2.0,30.0,15.0
3328,feed_shizuokacity_ryougouchi_20260401_20260630200904_o7_0,,866.21,10.39,2.0,30.0,15.0
3328,feed_shizuokacity_ryougouchi_20260401_20260630200904_o8_0,,287.08,3.44,2.0,30.0,15.0
3329,feed_shizuokacity_ryougouchi_20260401_20260630200904_o5_0,,737.91,8.85,2.0,30.0,15.0
3329,feed_shizuokacity_ryougouchi_20260401_20260630200904_o8_0,,575.46,6.91,2.0,30.0,15.0
3330,feed_shizuokacity_ryougouchi_20260401_20260630200904_o5_0,,0.0,0.0,2.0,30.0,15.0
3330,feed_shizuokacity_ryougouchi_20260401_20260630200904_o6_0,,349.35,4.19,2.0,30.0,15.0
3331,feed_shizuokacity_ryougouchi_20260401_20260630200904_o4_0,,692.22,8.31,2.0,30.0,15.0
3331,feed_shizuokacity_ryougouchi_20260401_20260630200904_o5_0,,722.6,8.67,2.0,30.0,15.0
3331,feed_shizuokacity_ryougouchi_20260401_20260630200904_o6_0,,881.5,10.58,2.0,30.0,15.0
3332,feed_shizuokacity_ryougouchi_20260401_20260630200904_o4_0,,308.89,3.71,2.0,30.0,15.0
3337,feed_shizuokacity_ryougouchi_20260401_20260630200904_z2_0,,394.05,4.73,2.0,30.0,15.0
3337,feed_shizuokacity_ryougouchi_20260401_20260630200904_z3_0,,229.7,2.76,2.0,30.0,15.0
3337,feed_shizuokacity_ryougouchi_20260401_20260630200904_z4_0,,583.08,7.0,2.0,30.0,15.0
3338,feed_shizuokacity_ryougouchi_20260401_20260630200904_z2_0,,387.94,4.66,2.0,30.0,15.0
3338,feed_shizuokacity_ryougouchi_20260401_20260630200904_z3_0,,235.82,2.83,2.0,30.0,15.0
3338,feed_shizuokacity_ryougouchi_20260401_20260630200904_z4_0,,589.19,7.07,2.0,30.0,15.0
3339,feed_shizuokacity_ryougouchi_20260401_20260630200904_z2_0,,7.11,0.09,2.0,30.0,15.0
3339,feed_shizuokacity_ryougouchi_20260401_20260630200904_z3_0,,358.4,4.3,2.0,30.0,15.0
3339,feed_shizuokacity_ryougouchi_20260401_20260630200904_z4_0,,764.73,9.18,2.0,30.0,15.0
3340,feed_shizuokacity_ryougouchi_20260401_20260630200904_z3_0,,669.55,8.03,2.0,30.0,15.0
3361,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b12_0,,892.86,10.71,0.333,180.0,90.0
3363,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b14_2,,688.4,8.26,0.333,180.0,90.0
3363,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b15_2,,552.96,6.64,0.333,180.0,90.0
3364,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b13_2,,802.41,9.63,0.333,180.0,90.0
3364,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b14_2,,471.79,5.66,0.333,180.0,90.0
3364,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b15_2,,183.86,2.21,0.333,180.0,90.0
3364,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_2,,663.91,7.97,0.333,180.0,90.0
3365,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b15_2,,583.84,7.01,0.333,180.0,90.0
3365,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_2,,282.77,3.39,0.333,180.0,90.0
3365,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b17_2,,611.9,7.34,0.333,180.0,90.0
3365,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b18_2,,943.31,11.32,0.333,180.0,90.0
3366,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_2,,542.43,6.51,0.333,180.0,90.0
3366,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b17_2,,296.71,3.56,0.333,180.0,90.0
3366,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b18_2,,416.24,4.99,0.333,180.0,90.0
